Pond	Group	Temperature	Chemical	Treatment	Ammonia	ATP_max	Year	ATP
G6	UR+RU	0°„C	UR+RU	UR+RU	No Ammonia	122	2022	3.6028586616266
G7	RU	0°„C	RU	RU	Ammonia	217	2022	6.40836335715551
G8	CONTROL	0°„C	NONE	CONTROL	No Ammonia	123	2022	3.63239029000059
G9	UR+RU+4°„C	4°„C	UR+RU	UR+RU+4°„C	Ammonia	51	2022	1.50611304707342
G10	2°„C	2°„C	NONE		No Ammonia	86	2022	2.53972004016301
G11	5°„C	5°„C	NONE		Ammonia	1413	2022	41.7281908924458
G12	UR+RU+4°„C	4°„C	UR+RU	UR+RU+4°„C	Ammonia	53	2022	1.56517630382139
H1	CONTROL	0°„C	NONE	CONTROL	Ammonia	640	2022	18.9002421593527
H2	UR+RU	0°„C	UR+RU	UR+RU	No Ammonia	167	2022	4.93178193845609
H3	8°„C	8°„C	NONE		No Ammonia	56	2022	1.65377118894336
H4	4°„C	4°„C	NONE	4°„C	No Ammonia	219	2022	6.46742661390349
H5	2°„C	2°„C	NONE		No Ammonia	1005	2022	29.6792865158585
H6	UR	0°„C	UR	UR	Ammonia	114	2022	3.36660563463469
H7	7°„C	7°„C	NONE		Ammonia	297	2022	8.7708936270746
H8	4°„C	4°„C	NONE	4°„C	Ammonia	606	2022	17.8961667946371
H9	1°„C	1°„C	NONE		Ammonia	164	2022	4.84318705333412
H10	CONTROL	0°„C	NONE	CONTROL	Ammonia	142	2022	4.19349122910637
H11	4°„C	4°„C	NONE	4°„C	No Ammonia	329	2022	9.71590573504223
H12	UR+RU	0°„C	UR+RU	UR+RU	Ammonia	301	2022	8.88902014057055
